Type,Depth,Magnitude,ID,Latitude,Longitude,Dates
Earthquake,30.7,5.7,ISCGEM857447,51.865,175.172,1965-04-04 13:30:39
Earthquake,25.0,5.6,ISCGEM857450,-27.088,-176.046,1965-04-04 15:36:13
Earthquake,20.0,6.1,ISCGEM857472,37.505,22.067,1965-04-05 03:12:53
Earthquake,39.2,5.7,ISCGEM857484,44.812,150.871,1965-04-05 13:52:12
Earthquake,50.0,5.7,ISCGEM857506,36.083,139.968,1965-04-06 05:31:59
Earthquake,25.0,6.2,ISCGEM857510,-0.463,120.039,1965-04-06 09:42:29
Earthquake,25.0,6.1,ISCGEM857580,52.192,173.437,1965-04-08 13:43:54
Earthquake,20.0,6.0,ISCGEM857602,-32.707,-178.207,1965-04-09 10:45:26
Earthquake,65.0,6.2,ISCGEM857618,35.047,24.318,1965-04-09 23:57:06
Earthquake,17.5,5.7,ISCGEM857639,-20.455,-173.621,1965-04-10 14:46:51
Earthquake,543.7,6.5,ISCGEM857647,-17.857,-178.646,1965-04-10 22:32:48
Earthquake,635.0,6.3,ISCGEM857648,-13.409,170.376,1965-04-10 22:53:05
Earthquake,20.0,5.9,ISCGEM857649,-42.692,174.205,1965-04-11 00:11:11
Earthquake,570.0,5.7,ISCGEM857677,-26.168,178.628,1965-04-11 18:51:37
Earthquake,421.7,5.6,ISCGEM857712,30.317,138.702,1965-04-12 20:41:17
Earthquake,165.0,5.6,ISCGEM857769,25.08,122.897,1965-04-15 05:09:50
Earthquake,15.0,6.0,ISCGEM857809,64.572,-160.375,1965-04-16 23:22:21
Earthquake,10.0,5.9,ISCGEM857833,41.46,-127.416,1965-04-18 06:33:58
Earthquake,25.0,6.1,ISCGEM857835,-59.687,-26.454,1965-04-18 09:39:19
Earthquake,25.0,6.1,ISCGEM857837,-59.586,-26.372,1965-04-18 12:41:56
Earthquake,35.0,6.0,ISCGEM857881,34.848,138.332,1965-04-19 23:42:00
Earthquake,70.0,5.8,ISCGEM857999,11.451,140.231,1965-04-24 21:55:29
Earthquake,30.0,6.0,ISCGEM858003,24.409,142.776,1965-04-25 01:00:15
Earthquake,25.0,5.7,ISCGEM858039,-1.733,126.568,1965-04-26 09:47:29
Earthquake,36.8,5.6,ISCGEM858049,54.157,-162.59,1965-04-26 20:29:07
Earthquake,37.1,6.1,ISCGEM858053,21.045,120.798,1965-04-26 22:15:45
Earthquake,30.0,6.0,ISCGEM858070,-6.822,129.504,1965-04-27 10:54:24
Earthquake,60.0,6.1,ISCGEM858076,35.626,23.425,1965-04-27 14:09:10
Earthquake,15.0,5.8,ISCGEM858082,1.333,-85.075,1965-04-27 20:09:17
Earthquake,64.7,6.7,ISCGEM858143,47.288,-122.406,1965-04-29 15:28:45
Earthquake,480.0,6.0,ISCGEMSUP858144,-5.548,110.332,1965-04-29 15:48:55
Earthquake,15.0,5.6,ISCGEM856572,60.35,-146.176,1965-05-01 21:27:54
Earthquake,22.5,5.8,ISCGEM856581,28.927,128.769,1965-05-02 07:13:45
Earthquake,90.0,5.8,ISCGEM856594,-32.537,-70.569,1965-05-03 01:09:34
Earthquake,15.0,5.9,ISCGEM856602,13.683,-89.07,1965-05-03 10:01:38
Earthquake,110.0,5.7,ISCGEM856609,-24.281,-67.927,1965-05-03 16:09:09
Earthquake,10.0,6.2,ISCGEM856624,41.801,79.414,1965-05-04 08:34:43
Earthquake,50.0,5.7,ISCGEM856806,-3.523,137.924,1965-05-12 08:05:56
Earthquake,153.1,6.1,ISCGEM856810,-6.174,130.358,1965-05-12 10:33:47
